date,row_type,run_id,change,model,split,macro_f1,f1_cloud,f1_gym,f1_insurance,f1_mobile,f1_music,f1_software,f1_streaming,f1_none,delta,verdict,compared_to,coverage,selection_accuracy,training_clients,pseudo_sources,pseudo_weight,pseudo_min_payments,fidelity,conclusion
2026-09-24T12:42:56+00:00,,,Prior-probability baseline (walking skeleton),prior,valid,0.0567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4532,,,,,,,,,,,All-none floor; later models must beat this
2026-09-24T13:40:44+00:00,evaluate,20260924T134044-2e6cd3,Prior baseline scored on the valid selection set (honest evaluation),prior,selection,0.0566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4530,,first,,,,,,,,,First selection-set row; later models are compared to this with the paired bootstrap
2026-09-24T14:04:33+00:00,evaluate,20260924T140433-16f903,Prior model with the tuned E3 decision layer (per-label weights + none threshold),prior+tuned,selection,0.0566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4530,0.0000,tie,20260924T134044-2e6cd3,,,,,,,,Decision layer on top of class priors; tests whether reweighting alone lifts macro-F1
2026-09-24T14:33:00+00:00,evaluate,20260924T143300-7c79fe,"E2 stream features + LightGBM (balanced, default params, argmax)",lgbm,selection,0.4722,0.5714,0.5059,0.4806,0.4878,0.3607,0.4065,0.3802,0.5842,0.4155,improvement,20260924T134044-2e6cd3,,,,,,,,First learned model on stream-derived features
2026-09-24T15:16:36+00:00,evaluate,20260924T151636-c6fcf8,"E1 rule baseline: soonest Active Stream due within the Horizon, no none-gate",rules,selection,0.5365,0.6250,0.5667,0.5375,0.5986,0.4336,0.4681,0.5315,0.5307,0.0643,improvement,20260924T143300-7c79fe,0.7111,0.7955,,,,,,Rules baseline on current main; beats E2 LightGBM by a clear margin and is the previous best for the ranker
2026-09-24T15:17:05+00:00,evaluate,20260924T151704-615cf5,Milestone-2 rule: E1 plus the none-gate (none when the longest surviving stream has <= 4 payments),rules+gate4,selection,0.5490,0.6240,0.5600,0.5526,0.6131,0.4493,0.4604,0.5217,0.6111,0.0126,tie,20260924T151636-c6fcf8,0.7111,0.7699,,,,,,Gate lifts none F1 but the delta over ungated E1 is under the 0.03 tie margin; the gated rule is the submitted baseline the ranker must beat
2026-09-24T15:44:34+00:00,evaluate,20260924T154434-ee87f3,"Stream Ranker: LightGBM binary over every Candidate Stream (stream-table features only), per-Client max/none aggregation, tuned E3 decision",ranker+tuned,selection,0.5714,0.6234,0.5989,0.5946,0.6714,0.3964,0.4730,0.5578,0.6560,0.0993,improvement,20260924T143300-7c79fe,,,,,,,,"Beats E2 (logged best on this branch) clearly. Against ticket 01's rule runs on the same 700 Clients (paired bootstrap, predictions on branch ranker/01): vs E1 rules 20260924T151636-c6fcf8 (0.5365) delta +0.0350 (95% +0.0011 .. +0.0676) -> improvement; vs rules+gate4 20260924T151704-615cf5 (0.5490) delta +0.0224 (95% -0.0111 .. +0.0565) -> tie. Train OOF macro-F1 0.5419 argmax -> 0.6341 tuned."
2026-09-24T16:25:15+00:00,fidelity,20260924T162515-d6d36f,"Pseudo-Label fidelity check: Shifted Cutoff 2025-10-03, Horizon 90 days, min_payments 4 (chosen from 2-10), labeller stream params defaults",rules+gate4,train,0.6453,0.6667,0.5995,0.6579,0.6194,0.6429,0.6798,0.6889,0.6073,0.1122,fail,,,,,,,,,"none share 0.1535 vs real 0.2985: gap -0.1450, tolerance 0.05; rule macro-F1 0.6453 vs real 0.5331: gap +0.1122, tolerance 0.05; FAIL"
2026-09-24T17:11:08+00:00,evaluate,20260924T171108-3251a4,"Stream Ranker with Pseudo-Labels: real train labels pooled with train and unlabeled Clients Pseudo-Labelled at Shifted Cutoff 2025-10-03 (min_payments 4, weight 0.5); tuned E3 decision fitted on real-labelled out-of-fold rows only",ranker+pseudo+tuned,selection,0.5735,0.6116,0.5876,0.6071,0.6456,0.4793,0.5037,0.5298,0.6233,0.0021,tie,20260924T154434-ee87f3,,,14000,train@2025-10-03;unlabeled@2025-10-03,0.5,4,fail 20260924T162515-d6d36f,"Tie with the real-label ranker+tuned 20260924T154434-ee87f3 (0.5714): delta +0.0021 (95% -0.0272 .. +0.0306), under the 0.03 margin. 12000 Pseudo-Labelled Clients lift train OOF argmax 0.5419 -> 0.5485 but the tuned OOF falls 0.6341 -> 0.5819. Fidelity check 20260924T162515-d6d36f failed (Pseudo-Label none share 0.15 vs 0.30), so this is not a validated setup; weight, Shifted Cutoffs and min_payments are left to the self-improvement loop."
2026-09-24T19:52:25+00:00,evaluate,20260924T195225-27531a,"Blend: 0.1 x gated rule + 0.9 x Stream Ranker with Pseudo-Labels (train+unlabeled@2025-10-03, weight 0.5, min_payments 4); rule weight chosen on train out-of-fold (scripts/blend_weight_sweep.py); tuned E3 decision",blend+gate4+w0.1+pseudo+tuned,selection,0.5726,0.5862,0.6061,0.5663,0.6709,0.4806,0.4857,0.5455,0.6396,-0.0009,tie,20260924T171108-3251a4,,,14000,train@2025-10-03;unlabeled@2025-10-03,0.5,4,fail 20260924T162515-d6d36f,Ticket 07: does blending the rule into the ranker beat the ranker on selection?
